Emiten,Model,MAE,RMSE,MAPE (%),R²
ADRO,"ARIMA(3, 1, 3)",95.2167,120.3472,1.9879,0.985972
ADRO,LSTM (murni),857.0574,1030.2859,16.4719,-0.028103
ADRO,Hybrid ARIMA-LSTM,95.2167,120.3474,1.9879,0.985972
PTBA,"ARIMA(1, 1, 3)",240.1212,305.2328,1.7093,0.989435
PTBA,LSTM (murni),6000.0389,6487.4781,40.9356,-3.77247
PTBA,Hybrid ARIMA-LSTM,239.9808,305.0458,1.7089,0.989448
INDY,"ARIMA(1, 1, 3)",1815.7472,2282.3825,1.7918,0.975938
INDY,LSTM (murni),9072.367,10759.5713,8.9061,0.465248
INDY,Hybrid ARIMA-LSTM,1815.6804,2281.2181,1.7922,0.975962
ITMG,"ARIMA(3, 1, 3)",0.0809,0.1262,4.775,0.995548
ITMG,LSTM (murni),0.6223,0.7319,46.6743,0.85021
ITMG,Hybrid ARIMA-LSTM,0.086,0.1303,5.5364,0.995256
