Emiten,Tahun Milestone,Prediksi Harga (IDR),Batas Bawah (IDR),Batas Atas (IDR)
ADRO,2025,2144.95,1926.81,2363.09
ADRO,2030,2217.43,1665.03,2769.82
ADRO,2035,2206.6,1462.31,2950.89
ADRO,2040,2200.87,1305.55,3096.18
ADRO,2045,2191.99,1170.41,3213.56
PTBA,2025,2279.76,2016.6,2542.91
PTBA,2030,2266.39,1625.57,2907.2
PTBA,2035,2260.09,1394.84,3125.34
PTBA,2040,2255.31,1213.98,3296.64
PTBA,2045,2251.81,1060.67,3442.95
INDY,2025,1423.7,1201.21,1646.2
INDY,2030,2499.44,1542.64,3456.24
INDY,2035,2392.85,1152.58,3633.12
INDY,2040,2295.16,860.41,3729.91
INDY,2045,2230.31,633.04,3827.59
ITMG,2025,24480.35,21682.1,27278.6
ITMG,2030,24264.22,17470.45,31057.99
ITMG,2035,24104.63,14966.32,33242.93
ITMG,2040,23981.03,13016.33,34945.73
ITMG,2045,23899.41,11380.52,36418.3
